?cosing_ref	?gene_count	?cosing_inci	?cas_list	?function_list
<http://example.org/cosing/ref/84605>	25551	"4,4'-ISOPROPYLIDENEDIPHENOL"	"https://identifiers.org/cas/80-05-7"	"NOT REPORTED"
<http://example.org/cosing/ref/94126>	17400	"VALPROIC ACID"	"https://identifiers.org/cas/99-66-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31569>	14363	"ACETAMINOPHEN"	"https://identifiers.org/cas/103-90-2"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85093>	10336	"ESTRADIOL"	"https://identifiers.org/cas/50-28-2"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85094>	10164	"ETHINYLESTRADIOL"	"https://identifiers.org/cas/57-63-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/33946>	10079	"FOLIC ACID"	"https://identifiers.org/cas/59-30-3"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31401>	9195	"ALCOHOL"	"https://identifiers.org/cas/64-17-5"	"ANTIMICROBIAL,ANTIFOAMING,SOLVENT,VISCOSITY CONTROLLING,FRAGRANCE,ASTRINGENT"
<http://example.org/cosing/ref/74174>	9195	"ALCOHOL DENAT."	"https://identifiers.org/cas/64-17-5"	"ANTIMICROBIAL,ANTIFOAMING,SOLVENT,VISCOSITY CONTROLLING,FRAGRANCE,ASTRINGENT"
<http://example.org/cosing/ref/76428>	9046	"HYDRATED SILICA"	"https://identifiers.org/cas/7631-86-9|https://identifiers.org/cas/1343-98-2"	"ABSORBENT,BULKING,ANTICAKING,ABRASIVE,OPACIFYING,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/38146>	9045	"SOLUM DIATOMEAE"	"https://identifiers.org/cas/7631-86-9"	"ABSORBENT,ANTICAKING,ABRASIVE,OPACIFYING"
<http://example.org/cosing/ref/78845>	9045	"SILICA"	"https://identifiers.org/cas/7631-86-9"	"ABSORBENT,BULKING,ANTICAKING,ABRASIVE,OPACIFYING,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/85067>	8865	"RETINOIC ACID"	"https://identifiers.org/cas/302-79-4"	"NOT REPORTED"
<http://example.org/cosing/ref/95284>	6907	"ACRYLAMIDE"	"https://identifiers.org/cas/79-06-1"	"NOT REPORTED"
<http://example.org/cosing/ref/97171>	6848	"CI 77891"	"https://identifiers.org/cas/13463-67-7"	"COLORANT"
<http://example.org/cosing/ref/38617>	6848	"TITANIUM DIOXIDE"	"https://identifiers.org/cas/13463-67-7"	"UV ABSORBER,COLORANT,OPACIFYING,UV FILTER"
<http://example.org/cosing/ref/33031>	6580	"COPPER SULFATE"	"https://identifiers.org/cas/7758-98-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/93980>	6394	"OZONE"	"https://identifiers.org/cas/10028-15-6"	"ANTIPLAQUE"
<http://example.org/cosing/ref/32826>	5443	"CI 77400"	"https://identifiers.org/cas/7440-50-8"	"COLORANT"
<http://example.org/cosing/ref/31857>	5138	"AMMONIUM CHLORIDE"	"https://identifiers.org/cas/12125-02-9"	"BUFFERING,VISCOSITY CONTROLLING,FRAGRANCE"
<http://example.org/cosing/ref/84488>	5051	"DIBUTYL PHTHALATE"	"https://identifiers.org/cas/84-74-2"	"SOLVENT,FRAGRANCE,PLASTICISER,PERFUMING"
<http://example.org/cosing/ref/85217>	4806	"TESTOSTERONE"	"https://identifiers.org/cas/58-22-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/84993>	4697	"COBALT CHLORIDE"	"https://identifiers.org/cas/7646-79-9"	"NOT REPORTED"
<http://example.org/cosing/ref/58389>	4313	"PROGESTERONE"	"https://identifiers.org/cas/57-83-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/58054>	4281	"OXYGEN"	"https://identifiers.org/cas/7782-44-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/58944>	4232	"QUERCETIN"	"https://identifiers.org/cas/117-39-5"	"ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/85188>	4131	"GENISTEIN"	"https://identifiers.org/cas/446-72-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/34325>	4120	"HYDROGEN PEROXIDE"	"https://identifiers.org/cas/7722-84-1"	"ANTIMICROBIAL,ORAL CARE,OXIDISING"
<http://example.org/cosing/ref/84569>	4043	"ETHYLENE DICHLORIDE"	"https://identifiers.org/cas/107-06-2"	"NOT REPORTED"
<http://example.org/cosing/ref/33948>	3936	"FORMALDEHYDE"	"https://identifiers.org/cas/50-00-0"	"ANTIMICROBIAL,DENATURANT,PRESERVATIVE"
<http://example.org/cosing/ref/32304>	3859	"CAFFEINE"	"https://identifiers.org/cas/58-08-2"	"SKIN CONDITIONING,PERFUMING"
<http://example.org/cosing/ref/84561>	3858	"DIETHYLHEXYL PHTHALATE"	"https://identifiers.org/cas/117-81-7"	"SOLVENT,FRAGRANCE,PLASTICISER,PERFUMING"
<http://example.org/cosing/ref/39175>	3803	"BUTYRALDEHYDE"	"https://identifiers.org/cas/123-72-8"	"PERFUMING"
<http://example.org/cosing/ref/34809>	3448	"LACTIC ACID"	"https://identifiers.org/cas/50-21-5"	"BUFFERING,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/38663>	3379	"TRICLOSAN"	"https://identifiers.org/cas/3380-34-5"	"ANTIMICROBIAL,DEODORANT,PRESERVATIVE"
<http://example.org/cosing/ref/35156>	3230	"MANGANESE CHLORIDE"	"https://identifiers.org/cas/7773-01-5"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/36527>	3138	"PHENYL MERCURIC ACETATE"	"https://identifiers.org/cas/62-38-4"	"PRESERVATIVE"
<http://example.org/cosing/ref/86562>	2679	"ZINC"	"https://identifiers.org/cas/7440-66-6"	"ANTIOXIDANT"
<http://example.org/cosing/ref/95795>	2603	"METHOTREXATE"	"https://identifiers.org/cas/59-05-2"	"NOT REPORTED"
<http://example.org/cosing/ref/83140>	2536	"COLLOIDAL SILVER"	"https://identifiers.org/cas/7440-22-4"	"ANTIMICROBIAL,SLIP MODIFIER"
<http://example.org/cosing/ref/32836>	2536	"CI 77820"	"https://identifiers.org/cas/7440-22-4"	"COLORANT"
<http://example.org/cosing/ref/91080>	2536	"SILVER"	"https://identifiers.org/cas/7440-22-4"	"DEODORANT,SKIN CONDITIONING - MISCELLANEOUS,COLORANT"
<http://example.org/cosing/ref/56148>	2387	"EPIGALLOCATECHIN GALLATE"	"https://identifiers.org/cas/989-51-5"	"ANTIOXIDANT"
<http://example.org/cosing/ref/37869>	2379	"SODIUM FLUORIDE"	"https://identifiers.org/cas/7681-49-4"	"ORAL CARE,ANTIPLAQUE"
